Message,Event ID,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user EDRALYN\edral SID (S-1-5-21-688507615-3210055513-2071813221-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",10016,0,0.0,3,0,0,-9187343239835811840,3697,Microsoft-Windows-DistributedCOM,1b562e86-b7aa-4131-badc-b6f3a001407e,System,1396,5700,Edralyn,S-1-5-21-688507615-3210055513-2071813221-1001,09/05/2024 10:09:51 pm,eb09d8a4-7a49-4a96-8442-d8a02411004c,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Power source change.,105,1,,4,100,0,-9223372036854774780,3696,Microsoft-Windows-Kernel-Power,331c3b3a-2005-44c2-ac5e-77220c37d6b4,System,4,19108,Edralyn,S-1-5-18,09/05/2024 9:53:54 pm,,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user EDRALYN\edral SID (S-1-5-21-688507615-3210055513-2071813221-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",10016,0,0.0,3,0,0,-9187343239835811840,3695,Microsoft-Windows-DistributedCOM,1b562e86-b7aa-4131-badc-b6f3a001407e,System,1396,22120,Edralyn,S-1-5-21-688507615-3210055513-2071813221-1001,09/05/2024 9:52:50 pm,6d296fc4-4ffe-477f-9f79-611540eb34ef,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user EDRALYN\edral SID (S-1-5-21-688507615-3210055513-2071813221-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",10016,0,0.0,3,0,0,-9187343239835811840,3694,Microsoft-Windows-DistributedCOM,1b562e86-b7aa-4131-badc-b6f3a001407e,System,1396,9920,Edralyn,S-1-5-21-688507615-3210055513-2071813221-1001,09/05/2024 9:46:58 pm,d07c5100-2d68-4d4d-8553-3db21b44ad8d,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user EDRALYN\edral SID (S-1-5-21-688507615-3210055513-2071813221-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.",10016,0,0.0,3,0,0,-9187343239835811840,3693,Microsoft-Windows-DistributedCOM,1b562e86-b7aa-4131-badc-b6f3a001407e,System,1396,8680,Edralyn,S-1-5-21-688507615-3210055513-2071813221-1001,09/05/2024 9:43:44 pm,d6434746-4c23-4fc6-9cf6-3d65eeea7211,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Power source change.,105,1,,4,100,0,-9223372036854774780,3692,Microsoft-Windows-Kernel-Power,331c3b3a-2005-44c2-ac5e-77220c37d6b4,System,4,4076,Edralyn,S-1-5-18,09/05/2024 9:41:08 pm,,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Power source change.,105,1,,4,100,0,-9223372036854774780,3691,Microsoft-Windows-Kernel-Power,331c3b3a-2005-44c2-ac5e-77220c37d6b4,System,4,4076,Edralyn,S-1-5-18,09/05/2024 9:38:42 pm,,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user EDRALYN\edral SID (S-1-5-21-688507615-3210055513-2071813221-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.",10016,0,0.0,3,0,0,-9187343239835811840,3690,Microsoft-Windows-DistributedCOM,1b562e86-b7aa-4131-badc-b6f3a001407e,System,1396,9092,Edralyn,S-1-5-21-688507615-3210055513-2071813221-1001,09/05/2024 9:37:00 pm,be626a6d-0a00-43cb-b910-792f516d28ce,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Power source change.,105,1,,4,100,0,-9223372036854774780,3689,Microsoft-Windows-Kernel-Power,331c3b3a-2005-44c2-ac5e-77220c37d6b4,System,4,4076,Edralyn,S-1-5-18,09/05/2024 9:23:53 pm,,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Power source change.,105,1,,4,100,0,-9223372036854774780,3688,Microsoft-Windows-Kernel-Power,331c3b3a-2005-44c2-ac5e-77220c37d6b4,System,4,12056,Edralyn,S-1-5-18,09/05/2024 9:21:13 pm,,,System,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
